0,1,2
153795,"[1515, 2676, 3816, 3817, 3818, 3833, 3932, 3933, 23310, 23311, 81066, 84901, 84903, 122264, 122359, 122378, 122379, 124722, 124723, 124724, 125558, 125779, 130300, 130321, 150784, 151314, 152640, 153795, 155477, 158821, 158822, 158823, 158824, 158825, 158829, 160240, 160241, 160242, 160243, 160244, 160245, 172699, 186507, 199776, 215257, 220635, 234439, 235456, 235458, 235545, 235780, 235781, 235782, 246493, 247272, 247278, 247533, 252386, 277386, 277387, 277388, 277389, 277390, 277422, 277551, 277990, 279013]",6851
9209,"[2692, 5599, 9162, 9209, 9210, 9237, 9252, 9253, 9254, 19310, 19433, 19434, 80304, 114824, 118691, 118692, 123082, 123590, 130654, 130661, 130884, 151350, 155407, 155408, 175867, 181320, 181321, 199305, 204165, 232693, 234670, 237301, 259734, 259735, 260207, 276617, 276745]",4997
5612,"[5612, 130635, 130870, 130871, 130995, 131321, 201085, 279181]",1403
9211,"[9211, 19309, 102926, 123441, 155409, 279372]",549
99863,"[27652, 27653, 37819, 37820, 39461, 39462, 46184, 46185, 48465, 48466, 54674, 54675, 54676, 99863, 100774, 103814, 103815, 105272, 130126, 130135, 208213, 208214, 224391, 257700]",2653
100775,"[27654, 48467, 100775, 103816, 169492, 208215]",330
100379,"[39470, 39471, 43315, 43323, 43324, 43749, 43750, 49896, 49897, 49898, 49899, 49900, 50171, 54481, 54482, 54483, 54484, 54485, 82884, 82885, 82886, 82887, 82888, 86951, 86952, 86953, 86954, 86955, 100379, 100446, 104539, 108509, 108510, 108599, 108600, 108601, 119328, 119498, 129391, 129582, 167416, 169450, 207608, 210155, 211133, 223424, 223442, 223443, 223444, 223619, 255228, 255229, 268119]",14372
89153,"[89153, 111606, 116328, 220304, 220305, 229949]",322
264724,"[113498, 131869, 157754, 230825, 251887, 258645, 264724]",48
116885,"[1406, 14644, 18555, 18591, 19268, 19321, 77541, 77670, 83568, 83613, 94368, 116083, 116885, 117517, 131379, 155829, 174019, 179942, 194548, 203110, 203154, 227474, 236984, 262146, 262147, 274926, 274966]",1577
19247,"[1730, 10765, 14582, 14593, 14770, 14779, 14801, 14818, 14824, 17204, 17287, 18518, 18586, 18603, 18622, 18760, 18799, 19247, 19318, 19336, 19355, 19395, 19464, 66444, 77574, 77665, 81299, 81371, 83580, 83581, 92826, 94358, 102937, 116263, 117411, 117449, 117496, 117512, 117556, 117804, 122036, 122550, 127781, 152482, 153274, 154078, 155346, 161004, 161011, 175360, 179948, 181380, 203074, 203081, 203083, 203193, 246494, 251492, 251502, 252362, 262145, 264989, 271563, 274927, 274950, 275803, 278724, 279398]",3295
19258,"[14819, 17304, 18525, 18588, 18786, 19258, 19320, 77573, 77668, 117560, 175346, 179962, 181388, 203141, 203181, 215616, 222894, 252366, 262154, 274962]",721
54261,"[35208, 35247, 36029, 36544, 37974, 51668, 54261, 82545, 99700, 104364, 129713, 225627, 226194, 227015, 227025]",1456
54295,"[35209, 37245, 39253, 54295, 129066, 227018, 227960]",401
101157,"[35212, 35244, 36546, 38700, 51669, 90727, 101157, 104361, 130187, 226196]",695
172701,"[113411, 115837, 172701, 232288, 264654, 272087]",23
227164,"[198205, 225957, 226219, 227164]",106
11783,"[11783, 11792, 81212, 85332, 125557, 139691, 249752, 263320, 265199]",554
11818,[11818],18
99459,"[36949, 40036, 56880, 56884, 59567, 59617, 68709, 68710, 99459, 108991, 129067, 268583, 269693]",767
9104,"[9104, 10479, 10529, 10530, 10531, 10534, 10691, 202100, 249511]",3322
10569,"[10506, 10507, 10537, 10538, 10539, 10540, 10569, 10577, 10603, 10604, 10664, 10688, 10719, 86279, 123528, 157767, 158058, 158078, 158105, 158112, 158113, 158147, 158153, 158154, 158162, 158187, 158207, 185713, 186058, 186063, 186092, 186122, 186175, 186251, 186252, 186253, 194915, 194919, 194938, 194943, 194944, 197510, 199259, 199261, 199276, 199300, 202101, 202102, 202105, 202123, 232826, 234635, 234636, 234681, 234682, 234716, 249514, 249535, 249536, 249548, 265585, 265586, 276369, 276370, 276509, 276596, 276597, 276713]",31415
100242,"[39362, 39364, 40244, 54576, 54577, 54579, 54580, 76643, 76790, 100239, 100241, 100242, 104961, 104962, 104964, 105829, 165829, 165831, 165832, 167963, 167964, 167965, 167967, 167969, 168029, 168031, 168032, 168037, 168039, 169462, 181807, 181808, 198084, 198086, 198087, 208164, 208339, 209478, 209736, 211994, 211996, 211997, 225898, 225900, 225901, 226062, 226211, 226277, 226278, 253214, 253215, 253216, 253217, 253218, 253222, 253223, 255430, 256659, 256680, 256681, 257705, 268044, 268045, 268467, 268468, 269672]",5809
196331,"[59995, 59999, 196330, 196331, 196332, 258700]",298
117754,"[67242, 115496, 117754, 117779, 117786, 172446, 172447, 172471, 172495, 184360, 184361, 184367, 184375, 184388, 198803, 198961, 198962, 215807, 215810, 215812, 232830, 232840, 232841, 260467, 260469, 260470, 260471, 260472, 274474, 274475, 275034, 275035, 275038, 275040, 275041, 275051, 275052, 275053]",2044
117784,"[117784, 172467, 172489, 232838, 232839, 275042]",103
249498,"[157778, 157779, 157780, 158060, 158071, 158111, 158131, 158143, 158144, 158145, 158146, 158148, 158150, 158155, 158156, 158157, 158158, 158163, 158164, 158166, 158167, 186044, 186046, 186084, 186085, 186086, 186139, 186250, 186258, 194914, 194947, 197509, 199282, 202121, 202122, 234690, 234705, 234733, 249498, 249513, 249517, 249530, 249531, 249549, 276502]",10023
186059,"[158159, 158161, 186059, 186060, 186061, 186182, 197508, 276598]",3454
165794,"[165618, 165619, 165633, 165794, 165830, 167959, 167962, 167966, 167968, 167970, 168030, 168036, 168482, 168483, 169461, 169473, 169474, 175051, 180828, 181694, 181695, 181696, 181804, 181806, 198047, 198048, 208338, 210687, 210688, 211991, 211992, 211993, 226212, 226213, 253219, 253220, 256219]",1249
198046,"[167960, 167961, 181805, 198044, 198045, 198046, 253221, 255429]",311
172470,"[172445, 172448, 172449, 172470, 172472, 172473, 184347, 184348, 184358, 184359, 184362, 184363, 184364, 184372, 184374, 184386, 184387, 184389, 184390, 184400, 198963, 198964, 215806, 215811, 232176, 232177, 232820, 232824, 232829, 235206, 235207, 235208, 260460, 260461, 260462, 260463, 260464, 260465, 260466, 260468, 260473, 260478, 274473, 275037, 275039, 275054]",1619
184394,"[184394, 260479]",18
208336,"[208336, 225902, 225912, 268788, 268790]",67
225903,"[224523, 225899, 225903, 225904, 225906, 225911, 225913, 268786, 268787, 268789]",219
227060,"[224887, 224888, 227059, 227060]",170
274336,"[274261, 274335, 274336]",24
132999,"[14506, 24654, 24655, 24656, 56059, 63042, 73533, 73534, 77442, 109819, 109821, 109822, 109841, 132999, 173030, 173041, 174532, 174550, 185776, 196923, 201182, 216359, 220788, 229279, 250943, 258454, 260880, 260958, 262034, 262577, 265633, 271237]",4610
108775,"[35879, 37554, 41286, 79226, 105726, 108775, 129108, 223910, 257905, 270055]",864
24668,"[696, 5481, 10120, 14486, 14487, 14488, 14493, 14504, 14509, 14514, 20804, 20805, 20816, 22062, 22105, 24651, 24652, 24658, 24660, 24661, 24663, 24667, 24668, 24669, 58269, 58393, 58394, 59106, 62945, 62949, 62950, 63043, 63057, 65542, 65545, 65547, 65548, 65550, 65551, 65552, 65553, 69350, 69908, 69917, 69918, 69919, 69921, 69922, 69925, 69932, 74580, 75077, 75078, 77440, 77441, 78425, 83515, 86435, 86436, 86437, 86438, 109823, 109827, 109828, 109829, 109830, 109831, 109833, 109834, 109837, 109838, 171926, 173037, 173038, 174495, 174552, 174555, 175123, 200584, 203066, 212933, 214238, 214290, 214299, 217790, 220787, 229281, 248481, 248482, 248483, 252797, 258604, 259937, 259938, 262620, 264119, 271238, 271239]",1918
20806,"[20806, 24653, 65554, 75338, 109836, 109839, 215429]",117
152953,"[27228, 34714, 35957, 37555, 38456, 38464, 38465, 38507, 38508, 40274, 43600, 43601, 49357, 50727, 52164, 56247, 56387, 56467, 82839, 82906, 101916, 101917, 104147, 108786, 108797, 129096, 152270, 152953, 169740, 207120, 209435, 224614, 228152, 228153, 228183, 253340, 255129, 255150, 255271, 255380, 268137, 270049, 270850]",3436
132994,[132994],2704
260061,"[5113, 11980, 12042, 73376, 73386, 79441, 82932, 82942, 115338, 156741, 174147, 175348, 176514, 218869, 228920, 231592, 260061, 264452, 264454, 264455, 264457]",399
215134,[215134],10
