0,1,2
227164,"[225957, 227164]",84
11783,"[11783, 11792, 125557, 249752]",464
11818,[11818],18
36949,"[36949, 68709]",123
59567,"[40036, 56884, 59567, 68710, 129067, 268583, 269693]",307
81212,"[81212, 85332, 263320, 265199]",87
99459,"[56880, 59617, 99459]",328
9104,"[9104, 10530]",1562
10506,[10506],251
10507,"[10507, 10603, 10664, 86279, 123528, 234635]",5381
10529,"[10529, 10534, 10691]",1107
10531,"[10479, 10531]",394
10538,"[10537, 10538]",230
10539,"[10539, 10540]",298
10569,"[10569, 10577, 10719, 234681, 234682, 265585]",5095
10604,[10604],74
10688,[10688],1980
196331,"[59995, 196330, 196331, 258700]",287
67242,"[67242, 260472]",70
100239,"[39362, 54576, 100239, 104964, 167965, 168029, 208164, 226062, 253214, 256680]",477
100241,"[39364, 54577, 54580, 76643, 100241, 104962, 105829, 167967, 168031, 225898, 253215, 256659, 269672]",1455
100242,"[40244, 54579, 76790, 100242, 104961, 167969, 168032, 208339, 225900, 225901, 253218, 256681]",2023
117754,[117754],279
117779,"[117779, 215807]",277
117784,[117784],41
158148,"[157780, 157779, 158060, 158071, 158143, 158146, 186258, 194947, 234705, 157778, 158148]",2000
158078,"[158058, 158078, 158154, 186063, 186251, 186252, 186253, 194919]",5513
158105,"[158105, 158113]",628
158111,"[158111, 186084, 186086, 186085]",136
158112,"[158112, 158187, 186092, 199276]",439
158145,"[158145, 186046, 186139]",384
158150,[158150],141
158153,"[157767, 158147, 158153, 186058, 194915, 197510, 199261, 199300, 234716, 276369]",7206
158158,"[158155, 158156, 158158, 199282, 249531]",1467
158157,"[158157, 249513, 249530, 249549]",1938
158161,[158161],454
158162,"[158162, 158207, 186122, 186175, 194938, 234636, 276370]",2028
234733,"[158163, 158164, 194914, 197509, 234733]",148
158166,"[158166, 158167]",368
165794,"[165794, 181804, 198047, 256219]",211
181806,"[165830, 167959, 168036, 169474, 198048, 167962, 181806, 253220]",352
167968,"[165619, 167968, 168483, 169473, 181696, 208338, 175051]",168
167970,"[165633, 167970, 181694]",108
180828,"[168030, 165618, 167966, 168482, 180828, 181695]",173
169461,[169461],24
172470,"[172445, 172470, 184348, 184347, 235207, 184400, 235208]",343
172471,"[172447, 172471, 184361, 184388, 215810, 260467, 275038]",463
184362,"[172449, 172473, 184362, 172448, 172472, 184363, 184364]",362
172489,"[172467, 172489]",22
184358,"[184358, 235206, 260460, 260465, 184359, 260461, 260464, 260462, 260466]",225
184360,"[172446, 184360, 184367, 198803]",299
184372,[184372],30
184374,[184374],172
184375,"[172495, 184375, 215812, 260469, 260470, 260471]",239
184386,"[184386, 184387, 275037, 260468]",76
184389,"[184389, 215811, 184390, 275039]",141
184394,[184394],16
185713,[185713],10
186044,[186044],210
186059,[186059],1427
186060,"[186060, 197508]",44
186061,[186061],249
186182,"[158159, 186182]",1204
194943,[194943],149
194944,[194944],233
196332,"[59999, 196332]",11
198044,"[167961, 198044, 253221]",80
198046,"[167960, 181805, 198045, 198046]",230
198084,"[165829, 165832, 167963, 168037, 181807, 198084, 257705, 268044]",660
198086,[198086],122
198961,[198961],125
198962,[198962],67
198963,"[198963, 198964]",27
202100,[202100],134
202102,"[202101, 202102]",42
202105,[202105],277
202121,[202121],174
202122,[202122],168
202123,[202123],875
208336,"[208336, 225902]",39
209478,"[209478, 226277]",35
209736,"[209736, 226278]",33
210687,[210687],48
210688,[210688],42
211993,"[211991, 211993]",31
260463,"[215806, 260463]",87
225903,"[225899, 225903, 268789]",103
225904,[225904],33
225906,[225906],10
268788,"[225912, 268788]",21
225913,"[224523, 225911, 225913]",63
226211,"[165831, 167964, 168039, 169462, 181808, 211996, 211997, 226211, 268468]",421
226212,"[211992, 226212]",57
226213,[226213],25
227059,[227059],45
227060,"[224887, 224888, 227060]",125
232176,"[232176, 232177]",43
232824,"[232820, 232824]",50
232829,[232829],21
232830,[232830],46
232840,"[232840, 232841]",15
234690,[234690],262
249498,"[158144, 186250, 249498, 276502]",2495
249511,[249511],125
249514,[249514],54
249517,[249517],126
249535,[249535],19
249536,[249536],47
249548,[249548],69
253216,[253216],10
253217,[253217],18
253219,[253219],10
253222,[253222],11
260473,[260473],12
268467,"[198087, 211994, 268045, 268467]",535
274336,"[274261, 274335, 274336]",24
275034,[275034],23
275035,[275035],21
275040,[275040],13
275042,[275042],28
275051,"[275041, 275051]",28
275052,[275052],40
275053,[275053],25
275054,[275054],25
276509,"[265586, 276509]",110
276596,"[199259, 232826, 276596, 276597]",404
276598,[276598],76
79226,"[41286, 79226, 223910, 257905, 270055]",337
105726,[105726],29
108775,"[35879, 37554, 108775, 129108]",498
109819,"[14506, 24654, 24655, 24656, 63042, 109819, 109821, 173041, 220788, 262034]",605
109822,"[56059, 73533, 73534, 109822, 174550, 196923, 201182, 216359, 229279, 250943, 258454, 260880, 262577, 265633, 271237]",532
109841,"[77442, 109841, 173030, 174532, 260958]",157
132999,[132999],3315
24668,"[696, 5481, 14486, 14487, 14488, 14493, 14504, 14509, 20804, 20805, 22062, 22105, 24651, 24658, 24663, 24667, 24668, 58269, 58393, 58394, 59106, 62945, 62949, 62950, 63043, 65545, 65547, 65548, 65550, 65551, 65552, 65553, 69908, 69917, 69918, 69921, 69922, 69925, 69932, 74580, 75077, 75078, 77440, 77441, 86435, 86437, 86438, 109823, 109829, 109830, 109831, 109834, 109837, 171926, 173037, 173038, 175123, 200584, 203066, 212933, 214290, 214299, 220787, 229281, 248481, 248482, 248483, 259938, 271238, 271239]",1434
10120,"[10120, 14514, 20816, 24660, 24661, 24669]",101
20806,"[20806, 65554, 75338, 109839, 215429]",68
24653,[24653],44
34714,[34714],40
38465,"[27228, 38465, 52164, 129096]",145
63057,"[63057, 69350, 86436, 109827, 109828, 109833, 174495, 174552, 174555, 214238, 217790, 252797, 258604, 262620, 264119]",326
104147,[104147],40
109838,"[24652, 69919, 83515, 109838]",33
132994,[132994],2704
152953,"[35957, 37555, 38456, 38464, 38507, 38508, 40274, 43600, 43601, 49357, 50727, 56247, 56387, 56467, 82839, 82906, 101916, 101917, 108786, 108797, 152270, 152953, 169740, 207120, 209435, 224614, 228152, 228153, 253340, 255129, 255150, 255271, 255380, 268137, 270049, 270850]",3190
228183,[228183],21
259937,"[65542, 78425, 259937]",24
73376,"[5113, 12042, 73376, 73386, 79441, 82932, 115338, 156741, 174147]",148
175348,"[175348, 176514, 218869, 228920, 231592, 264452, 264454, 264455, 264457]",51
215134,[215134],10
260061,"[11980, 82942, 260061]",200
2554,"[2554, 8297, 103699, 175882, 179308, 183276, 261407]",15
